 i,m_hat,m_hat_aux,alpha_hat,alphahat_aux,sigma_hat,sigma_hat_aux                                    
  2,      2.3283,      2.9470,      1.0829,      1.0340,  0.25719874,  0.35986428
  7,      1.6541,      2.0001,      1.0147,      1.0334, -0.01651498,  0.07711713
  8,      1.5793,      1.8254,      1.0835,      1.1015, -0.15598105,  0.18080592
 10,      1.7732,      2.1031,      1.0339,      1.0516,  0.02345345,  0.12925316
 12,      1.5964,      1.8582,      0.9876,      0.9988, -0.04314591,  0.08392897
 16,      1.5781,      1.9082,      1.0076,      1.0181, -0.12217308,  0.32997912
 17,      1.7807,      2.1598,      1.0434,      1.0530,  0.03912243,  0.14654435
 18,      2.1275,      2.5317,      1.0449,      1.0558,  1.44698227, 10.76296927
 19,      1.9040,      2.2513,      1.0716,      1.0881,  0.26911696,  0.83513882
 20,      1.6681,      2.0452,      1.0359,      1.0546, -0.09416840,  1.37146362
 23,      2.2055,      2.9007,      1.1230,      1.1323,  0.23329240,  0.46392288
 24,      1.6906,      1.9782,      1.0968,      1.1101,  0.01128823,  0.63079898
 29,      2.0103,      2.3767,      1.0475,      1.0571,  0.18044959,  0.35388089
 30,      1.6567,      2.0575,      1.0500,      1.0621, -0.01581084,  0.24614436
 33,      1.9727,      2.3935,      1.0371,      1.0457,  0.24248468,  0.57708613
 34,      1.7407,      2.1130,      1.0787,      1.0899,  0.15049637,  1.95059114
 35,      2.0264,      2.3620,      0.9803,      0.9908,  0.47157231,  1.18047201
 36,      1.7517,      2.0905,      1.0633,      1.0769,  0.03046922,  0.17563979
 38,      1.8593,      2.1931,      1.0051,      1.0201,  0.08893372,  0.26357688
 39,      2.1546,      2.6289,      0.9995,      1.0150,  0.15513202,  0.28486825
 40,      1.6914,      2.0714,      1.0795,      1.0993, -0.00736320,  0.13410536
 41,      2.1470,      2.6098,      0.9584,      0.9751,  0.98590310,  3.71137184
 43,      1.0303,      1.2323,      1.1064,      1.1324,  0.51258273,  0.25936315
 44,      1.9046,      2.3326,      1.0530,      1.0734,  0.05700874,  0.17198291
 46,      1.0687,      1.2239,      1.0558,      1.0753,  0.30122264,  0.18926553
 48,      2.0889,      2.4725,      1.0328,      1.0484,  1.16613493,  5.20992191
 49,      1.5846,      1.9491,      1.0112,      1.0285, -0.16332687,  0.41738850
 50,      2.3286,      2.8334,      1.0490,      1.0659,  0.23016571,  0.37260619
 51,      1.8119,      2.1133,      1.0495,      1.0691,  0.19754697,  1.13986214
 52,      1.9877,      2.3135,      1.1094,      1.1311,  0.34982906,  0.87300432
 53,      1.3918,      1.6238,      1.0964,      1.1190,  0.30124818,  0.05245916
 54,      1.9996,      2.4532,      1.0973,      1.1183,  0.20791236,  0.53692165
 55,      1.6945,      1.9850,      1.1108,      1.1332, -0.07704365,  1.46444313
 56,      1.7496,      2.0701,      1.0534,      1.0752,  0.02318845,  0.28978030
 58,      1.8479,      2.1631,      0.9839,      1.0031,  0.04547988,  0.14971896
 60,      1.7602,      2.0237,      1.1056,      1.1286,  0.03069354,  0.25606334
 61,      1.5568,      1.8066,      1.0484,      1.0699, -0.05442877,  0.03354548
 64,      1.8582,      2.2743,      0.9843,      1.0049,  0.05069784,  0.19463746
 66,      2.0095,      2.3691,      1.0022,      1.0248,  0.09989676,  0.22109576
 67,      1.8578,      2.2126,      1.1204,      1.1466,  0.07370361,  0.29368859
 68,      2.3134,      2.7997,      1.1170,      1.1432,  0.28547337,  0.49850370
 71,      1.3552,      1.5647,      1.0222,      1.0476,  0.19474214,  0.05725566
 76,      2.0933,      2.5827,      1.0307,      1.0500,  0.70897388,  2.37456576
 79,      1.1563,      1.3352,      1.0816,      1.1023,  0.19174501,  0.10655614
 81,      1.6310,      1.9932,      0.9235,      0.9401, -0.03164643,  0.11079313
 82,      1.7183,      2.0496,      1.0303,      1.0484,  0.00451337,  0.14303211
 83,      2.2318,      2.7398,      1.0898,      1.1090,  0.89576315,  2.33072825
 85,      2.5410,      3.1590,      1.0267,      1.0456,  2.77011516, 13.02397205
 86,      2.4035,      3.1178,      1.0368,      1.0580,  0.34413029,  0.62647252
 87,      2.4238,      3.2379,      1.0602,      1.0834,  0.55235225,  1.10936295
 88,      2.2856,      2.6992,      0.9925,      1.0160,  0.44338579,  0.80164295
 90,      1.5986,      1.8950,      0.9693,      0.9932, -0.20167113,  0.32951817
 91,      1.4462,      1.7022,      1.0408,      1.0662, -1.68918287,  0.40710898
 95,      1.9979,      2.3063,      0.9362,      0.9565,  0.10842208,  0.23058540
 97,      1.2287,      1.4660,      1.0047,      1.0295,  1.95779567,  0.44473970
100,      2.8487,      3.8064,      0.9059,      0.9250,  0.24563770,  0.35959717
102,      1.6965,      1.9606,      1.0552,      1.0798, -0.01805321,  0.12405690
103,      2.0661,      2.5819,      1.0190,      1.0421,  0.96895742,  5.17286229
104,      1.8754,      2.2616,      1.0344,      1.0585,  0.16780120,  0.72258957
105,      1.6544,      1.9266,      0.9899,      1.0136, -0.04270585,  0.11275569
107,      1.6425,      1.8734,      0.9718,      0.9954, -0.11634461,  0.22921295
108,      2.1961,      2.6591,      1.0373,      1.0615,  0.22051445,  0.42959877
109,      2.2939,      2.8690,      0.9856,      1.0096,  0.24569244,  0.46269237
110,      1.7940,      2.1955,      1.0636,      1.0910,  0.02534796,  0.24564226
111,      1.6243,      1.8755,      1.0737,      1.1020, -0.08411138,  0.11739217
112,      1.7666,      2.0470,      1.0059,      1.0323,  0.01444796,  0.24846123
113,      1.7900,      2.0547,      1.0309,      1.0577,  0.03584518,  0.29682572
114,      1.6254,      1.8694,      0.9821,      1.0078, -0.15512479,  0.23644468
115,      2.0720,      2.4299,      1.0177,      1.0433,  0.12704864,  0.26155359
116,      2.0342,      2.4803,      1.0636,      1.0916,  0.73793436,  2.78029414
119,      1.9266,      2.3883,      1.0460,      1.0751,  0.07304151,  0.26107620
124,      1.8884,      2.3457,      1.0265,      1.0548,  0.17452007,  0.89184639
