   i,         t_i,      X(t_i)
   0,  0.00000000,  0.10000000
   1,  0.50000000,  0.14817987
   2,  1.00000000,  0.18841598
   3,  1.50000000,  0.23820881
   4,  2.00000000,  0.36891102
   5,  2.50000000,  0.45334338
   6,  3.00000000,  0.63818984
   7,  3.50000000,  0.68012128
   8,  4.00000000,  0.85373671
   9,  4.50000000,  0.82069224
  10,  5.00000000,  1.01579397
  11,  5.50000000,  0.99102743
  12,  6.00000000,  0.91686537
  13,  6.50000000,  1.05807556
  14,  7.00000000,  0.90631660
  15,  7.50000000,  0.97195409
  16,  8.00000000,  1.08262805
  17,  8.50000000,  0.95836471
  18,  9.00000000,  1.06358069
  19,  9.50000000,  1.03345914
  20, 10.00000000,  0.94550956
  21, 10.50000000,  1.00131726
  22, 11.00000000,  0.92605938
  23, 11.50000000,  0.97379407
  24, 12.00000000,  0.99303107
  25, 12.50000000,  1.04399681
  26, 13.00000000,  0.83567148
  27, 13.50000000,  0.96039934
  28, 14.00000000,  0.98628183
  29, 14.50000000,  1.08978249
  30, 15.00000000,  1.07758910
  31, 15.50000000,  0.97108521
  32, 16.00000000,  0.89542519
  33, 16.50000000,  1.09251845
  34, 17.00000000,  1.00517171
  35, 17.50000000,  1.04462302
  36, 18.00000000,  0.89439854
  37, 18.50000000,  1.06499246
  38, 19.00000000,  0.99103292
  39, 19.50000000,  0.98744263
  40, 20.00000000,  0.94810819
  41, 20.50000000,  0.95686891
  42, 21.00000000,  1.05801905
  43, 21.50000000,  0.97023662
  44, 22.00000000,  0.98514228
  45, 22.50000000,  1.02482225
  46, 23.00000000,  1.05262714
  47, 23.50000000,  0.95229585
  48, 24.00000000,  0.88909752
  49, 24.50000000,  1.00972039
  50, 25.00000000,  1.05511816
  51, 25.50000000,  0.89903611
  52, 26.00000000,  1.07594490
  53, 26.50000000,  0.98407127
  54, 27.00000000,  0.93916231
  55, 27.50000000,  0.85826503
  56, 28.00000000,  0.92301100
  57, 28.50000000,  1.17077298
  58, 29.00000000,  1.02154460
  59, 29.50000000,  0.96752554
  60, 30.00000000,  0.97615157
  61, 30.50000000,  0.93471390
  62, 31.00000000,  1.02293934
  63, 31.50000000,  1.01679118
  64, 32.00000000,  1.01715457
