 i,t_i,x_milstein(t_i)                                                          
                      
   1,      0.0000,      0.1000
   2,      0.0039,      0.0996
   3,      0.0078,      0.0997
   4,      0.0117,      0.1003
   5,      0.0156,      0.1004
   6,      0.0195,      0.1012
   7,      0.0234,      0.1015
   8,      0.0273,      0.1019
   9,      0.0312,      0.1017
  10,      0.0352,      0.1013
  11,      0.0391,      0.1033
  12,      0.0430,      0.1038
  13,      0.0469,      0.1051
  14,      0.0508,      0.1058
  15,      0.0547,      0.1059
  16,      0.0586,      0.1071
  17,      0.0625,      0.1078
  18,      0.0664,      0.1076
  19,      0.0703,      0.1090
  20,      0.0742,      0.1103
  21,      0.0781,      0.1102
  22,      0.0820,      0.1098
  23,      0.0859,      0.1102
  24,      0.0898,      0.1092
  25,      0.0938,      0.1084
  26,      0.0977,      0.1091
  27,      0.1016,      0.1095
  28,      0.1055,      0.1099
  29,      0.1094,      0.1100
  30,      0.1133,      0.1110
  31,      0.1172,      0.1105
  32,      0.1211,      0.1109
  33,      0.1250,      0.1116
  34,      0.1289,      0.1115
  35,      0.1328,      0.1120
  36,      0.1367,      0.1129
  37,      0.1406,      0.1142
  38,      0.1445,      0.1129
  39,      0.1484,      0.1124
  40,      0.1523,      0.1143
  41,      0.1562,      0.1155
  42,      0.1602,      0.1166
  43,      0.1641,      0.1163
  44,      0.1680,      0.1180
  45,      0.1719,      0.1180
  46,      0.1758,      0.1176
  47,      0.1797,      0.1184
  48,      0.1836,      0.1183
  49,      0.1875,      0.1179
  50,      0.1914,      0.1180
  51,      0.1953,      0.1176
  52,      0.1992,      0.1184
  53,      0.2031,      0.1192
  54,      0.2070,      0.1198
  55,      0.2109,      0.1205
  56,      0.2148,      0.1201
  57,      0.2188,      0.1216
  58,      0.2227,      0.1229
  59,      0.2266,      0.1224
  60,      0.2305,      0.1228
  61,      0.2344,      0.1231
  62,      0.2383,      0.1235
  63,      0.2422,      0.1252
  64,      0.2461,      0.1245
  65,      0.2500,      0.1244
  66,      0.2539,      0.1254
  67,      0.2578,      0.1256
  68,      0.2617,      0.1242
  69,      0.2656,      0.1248
  70,      0.2695,      0.1248
  71,      0.2734,      0.1260
  72,      0.2773,      0.1276
  73,      0.2812,      0.1288
  74,      0.2852,      0.1289
  75,      0.2891,      0.1310
  76,      0.2930,      0.1331
  77,      0.2969,      0.1332
  78,      0.3008,      0.1333
  79,      0.3047,      0.1328
  80,      0.3086,      0.1328
  81,      0.3125,      0.1336
  82,      0.3164,      0.1327
  83,      0.3203,      0.1328
  84,      0.3242,      0.1313
  85,      0.3281,      0.1311
  86,      0.3320,      0.1309
  87,      0.3359,      0.1328
  88,      0.3398,      0.1325
  89,      0.3438,      0.1324
  90,      0.3477,      0.1337
  91,      0.3516,      0.1354
  92,      0.3555,      0.1353
  93,      0.3594,      0.1354
  94,      0.3633,      0.1356
  95,      0.3672,      0.1357
  96,      0.3711,      0.1345
  97,      0.3750,      0.1358
  98,      0.3789,      0.1367
  99,      0.3828,      0.1366
 100,      0.3867,      0.1380
 101,      0.3906,      0.1367
 102,      0.3945,      0.1381
 103,      0.3984,      0.1395
 104,      0.4023,      0.1398
