 i,t_i,W(t_i)                                                                   
                      
   0,  0.00000,  0.00000
   1,  0.50000,  0.92655
   2,  1.00000,  0.76211
   3,  1.50000, -0.46382
   4,  2.00000,  0.12289
   5,  2.50000, -0.11438
   6,  3.00000,  0.89412
   7,  3.50000,  0.52973
   8,  4.00000,  0.95541
   9,  4.50000,  0.09118
  10,  5.00000,  0.51961
  11,  5.50000,  0.82359
  12,  6.00000,  0.31773
  13,  6.50000,  0.83625
  14,  7.00000,  0.23640
  15,  7.50000, -0.16491
  16,  8.00000,  0.38510
  17,  8.50000,  0.29790
  18,  9.00000,  1.05106
  19,  9.50000,  1.93267
  20, 10.00000,  2.16992
  21, 10.50000,  2.69580
  22, 11.00000,  2.47513
  23, 11.50000,  2.35904
  24, 12.00000,  2.30907
  25, 12.50000,  2.74385
  26, 13.00000,  1.29824
  27, 13.50000,  0.41034
  28, 14.00000, -0.41847
  29, 14.50000, -0.29979
  30, 15.00000,  0.27233
  31, 15.50000,  0.34298
  32, 16.00000, -0.56015
