 i,t_i,x_milstein(t_i)                                                                               
   1,      0.0000,      0.1000
   2,      0.0156,      0.1031
   3,      0.0312,      0.1041
   4,      0.0469,      0.1054
   5,      0.0625,      0.1062
   6,      0.0781,      0.1074
   7,      0.0938,      0.1043
   8,      0.1094,      0.1067
   9,      0.1250,      0.1104
  10,      0.1406,      0.1109
  11,      0.1562,      0.1110
  12,      0.1719,      0.1124
  13,      0.1875,      0.1130
  14,      0.2031,      0.1142
  15,      0.2188,      0.1147
  16,      0.2344,      0.1169
  17,      0.2500,      0.1195
  18,      0.2656,      0.1207
  19,      0.2812,      0.1180
  20,      0.2969,      0.1198
  21,      0.3125,      0.1187
  22,      0.3281,      0.1187
  23,      0.3438,      0.1208
  24,      0.3594,      0.1232
  25,      0.3750,      0.1251
  26,      0.3906,      0.1253
  27,      0.4062,      0.1279
  28,      0.4219,      0.1283
  29,      0.4375,      0.1280
  30,      0.4531,      0.1284
  31,      0.4688,      0.1286
  32,      0.4844,      0.1336
  33,      0.5000,      0.1364
  34,      0.5156,      0.1388
  35,      0.5312,      0.1379
  36,      0.5469,      0.1416
  37,      0.5625,      0.1417
  38,      0.5781,      0.1464
  39,      0.5938,      0.1479
  40,      0.6094,      0.1463
  41,      0.6250,      0.1501
  42,      0.6406,      0.1539
  43,      0.6562,      0.1584
  44,      0.6719,      0.1608
  45,      0.6875,      0.1619
  46,      0.7031,      0.1612
  47,      0.7188,      0.1608
  48,      0.7344,      0.1618
  49,      0.7500,      0.1628
  50,      0.7656,      0.1609
  51,      0.7812,      0.1641
  52,      0.7969,      0.1665
  53,      0.8125,      0.1700
  54,      0.8281,      0.1704
  55,      0.8438,      0.1713
  56,      0.8594,      0.1762
  57,      0.8750,      0.1776
  58,      0.8906,      0.1820
  59,      0.9062,      0.1860
  60,      0.9219,      0.1875
  61,      0.9375,      0.1893
  62,      0.9531,      0.1903
  63,      0.9688,      0.1898
  64,      0.9844,      0.1900
  65,      1.0000,      0.1936
  66,      1.0156,      0.1918
  67,      1.0312,      0.1935
  68,      1.0469,      0.1912
  69,      1.0625,      0.1921
  70,      1.0781,      0.1955
  71,      1.0938,      0.1971
  72,      1.1094,      0.2013
  73,      1.1250,      0.2014
  74,      1.1406,      0.2074
  75,      1.1562,      0.2137
  76,      1.1719,      0.2177
  77,      1.1875,      0.2205
  78,      1.2031,      0.2202
  79,      1.2188,      0.2216
  80,      1.2344,      0.2258
  81,      1.2500,      0.2292
  82,      1.2656,      0.2308
  83,      1.2812,      0.2334
  84,      1.2969,      0.2408
  85,      1.3125,      0.2403
  86,      1.3281,      0.2479
  87,      1.3438,      0.2469
  88,      1.3594,      0.2514
  89,      1.3750,      0.2572
  90,      1.3906,      0.2627
  91,      1.4062,      0.2636
  92,      1.4219,      0.2623
  93,      1.4375,      0.2601
  94,      1.4531,      0.2599
  95,      1.4688,      0.2631
  96,      1.4844,      0.2645
  97,      1.5000,      0.2661
  98,      1.5156,      0.2701
  99,      1.5312,      0.2690
 100,      1.5469,      0.2717
 101,      1.5625,      0.2804
 102,      1.5781,      0.2844
 103,      1.5938,      0.2832
 104,      1.6094,      0.2849
 105,      1.6250,      0.2884
 106,      1.6406,      0.2925
 107,      1.6562,      0.2937
 108,      1.6719,      0.2998
 109,      1.6875,      0.3044
 110,      1.7031,      0.3017
 111,      1.7188,      0.3059
 112,      1.7344,      0.3190
 113,      1.7500,      0.3239
 114,      1.7656,      0.3248
 115,      1.7812,      0.3266
 116,      1.7969,      0.3329
 117,      1.8125,      0.3363
 118,      1.8281,      0.3421
 119,      1.8438,      0.3412
 120,      1.8594,      0.3403
 121,      1.8750,      0.3467
 122,      1.8906,      0.3505
 123,      1.9062,      0.3622
 124,      1.9219,      0.3582
 125,      1.9375,      0.3545
 126,      1.9531,      0.3696
 127,      1.9688,      0.3704
 128,      1.9844,      0.3690
 129,      2.0000,      0.3783
 130,      2.0156,      0.3779
 131,      2.0312,      0.3864
 132,      2.0469,      0.3952
 133,      2.0625,      0.4048
 134,      2.0781,      0.3952
 135,      2.0938,      0.4028
 136,      2.1094,      0.4031
 137,      2.1250,      0.4058
 138,      2.1406,      0.4087
 139,      2.1562,      0.4126
 140,      2.1719,      0.4171
 141,      2.1875,      0.4215
 142,      2.2031,      0.4244
 143,      2.2188,      0.4410
 144,      2.2344,      0.4455
 145,      2.2500,      0.4487
 146,      2.2656,      0.4453
 147,      2.2812,      0.4537
 148,      2.2969,      0.4558
 149,      2.3125,      0.4658
 150,      2.3281,      0.4717
 151,      2.3438,      0.4829
 152,      2.3594,      0.4847
 153,      2.3750,      0.4860
 154,      2.3906,      0.4990
 155,      2.4062,      0.5112
 156,      2.4219,      0.5263
 157,      2.4375,      0.5394
 158,      2.4531,      0.5452
 159,      2.4688,      0.5487
 160,      2.4844,      0.5430
 161,      2.5000,      0.5568
 162,      2.5156,      0.5608
 163,      2.5312,      0.5708
